tableName,columnType,columnName,,,,,
fch_app_ctrl,StringType,cloudaction,,,,fgt_contentlog,83
fch_app_ctrl,LongType,sentbyte,,,,IntegerType,10
fch_app_ctrl,LongType,rcvdbyte,,,,LongType,12
fch_app_ctrl,LongType,crscore,,,,ShortType,3
fch_app_ctrl,StringType,crlevel,,,,StringType,56
fch_contentlog,LongType,id,,,,TimestampType,2
fch_contentlog,IntegerType,bid,,,,fgt_dlp,76
fch_contentlog,StringType,devid,,,,IntegerType,10
fch_contentlog,TimestampType,itime,,,,LongType,12
fch_contentlog,TimestampType,dtime,,,,ShortType,3
fch_contentlog,IntegerType,euid,,,,StringType,48
fch_contentlog,IntegerType,epid,,,,TimestampType,3
fch_contentlog,IntegerType,dsteuid,,,,fgt_dns,61
fch_contentlog,IntegerType,dstepid,,,,IntegerType,15
fch_contentlog,IntegerType,logflag,,,,LongType,5
fch_contentlog,IntegerType,logver,,,,ShortType,3
fch_contentlog,StringType,vd,,,,StringType,35
fch_contentlog,StringType,logid,,,,TimestampType,3
fch_contentlog,StringType,type,,,,fgt_emailfilter,63
fch_contentlog,StringType,subtype,,,,IntegerType,9
fch_contentlog,StringType,level,,,,LongType,7
fch_contentlog,ShortType,clogver,,,,ShortType,3
fch_contentlog,LongType,policyid,,,,StringType,41
fch_contentlog,LongType,epoch,,,,TimestampType,3
fch_contentlog,LongType,eventid,,,,fgt_event,288
fch_contentlog,LongType,sessionid,,,,IntegerType,27
fch_contentlog,StringType,user,,,,LongType,51
fch_contentlog,StringType,group,,,,ShortType,32
fch_contentlog,StringType,client,,,,StringType,175
fch_contentlog,StringType,server,,,,TimestampType,3
fch_contentlog,StringType,laddr,,,,fgt_fct_event,102
fch_contentlog,StringType,raddr,,,,IntegerType,12
fch_contentlog,StringType,cstatus,,,,LongType,6
fch_contentlog,StringType,infection,,,,ShortType,2
fch_contentlog,StringType,virus,,,,StringType,80
fch_contentlog,LongType,rcvdbyte,,,,TimestampType,2
fch_contentlog,LongType,sentbyte,,,,fgt_fct_netscan,38
fch_contentlog,StringType,method,,,,IntegerType,8
fch_contentlog,StringType,url,,,,LongType,2
fch_contentlog,StringType,cat,,,,StringType,26
fch_contentlog,StringType,cat_desc,,,,TimestampType,2
fch_contentlog,StringType,to,,,,fgt_fct_traffic,43
fch_contentlog,StringType,from,,,,IntegerType,11
fch_contentlog,StringType,subject,,,,LongType,4
fch_contentlog,StringType,direction,,,,StringType,26
fch_contentlog,ShortType,attachment,,,,TimestampType,2
fch_contentlog,StringType,ftpcmd,,,,fgt_file_filter,61
fch_contentlog,StringType,file,,,,IntegerType,9
fch_contentlog,StringType,profile,,,,LongType,5
fch_contentlog,StringType,local,,,,ShortType,2
fch_contentlog,StringType,remote,,,,StringType,42
fch_contentlog,StringType,status,,,,TimestampType,3
fch_contentlog,ShortType,proto,,,,fgt_gtp,72
fch_contentlog,StringType,kind,,,,IntegerType,12
fch_contentlog,StringType,action,,,,LongType,17
fch_contentlog,LongType,messages,,,,ShortType,5
fch_contentlog,StringType,startdate,,,,StringType,35
fch_contentlog,StringType,enddate,,,,TimestampType,3
fch_contentlog,StringType,content,,,,fgt_ips,72
fch_contentlog,StringType,filename,,,,IntegerType,10
